"cl","auc"
"SW948",9.1381
"TE15",14.646
"UMUC1",13.083
"WM88",6.5587
"WM983B",13.189
"ZR7530",7.8465
"CI1",7.0233
"CJM",7.6069
"HUG1N",9.5727
"JEKO1",5.9709
"JM1",6.8236
"KP2",10.607
"LMSU",9.9561
"MG63",6.7007
"MINO",5.5286
"MJ",12.785
"MOTN1",7.1411
"RL",6.8154
"SKMEL3",12.107
"SNU1",13.016
"ST486",5.8814
"SUPB15",9.8212
"TC71",11.441
"BICR18",12.31
"BICR22",14.693
"BICR31",12.69
"COLO678",10.471
"EFM192A",12.831
"G401",6.7178
"HS888LU",7.2652
"KPNYN",10.426
"NCIH1395",6.7505
"SNU423",6.9153
"SW1417",16.014
"SW1783",11.625
"VCAP",9.6665
"DMS454",9.3447
"GCT",5.9919
"HCC2935",12.795
"HOP62",14.316
"NCIH747",5.7429
"OVCAR5",8.597
"SF268",10.693
"SF539",7.6363
"TUHR14TKB",10.193
"U251MG",12.77
"DMS53",8.8206
"HEC1A",8.7298
"IGR37",14.854
"KNS62",14.604
"MDAMB157",7.136
"NCIH1563",11.107
"OC314",9.8632
"UO31",2.5602
"BICR56",13.21
"CAL33",14.505
"CALU1",6.5695
"CAPAN2",13.534
"DMS114",11.347
"EKVX",9.6671
"HCC1438",11.687
"HCT8",15.792
"HOP92",6.4887
"KYM1",13.577
"KYSE30",7.9799
"KYSE510",14.931
"L428",5.9448
"MDAMB361",8.7613
"MFE296",10.413
"NUDHL1",3.4728
"SNB75",12.833
"SNU216",14.072
"BICR16",14.219
"F36P",7.4603
"JJN3",10.779
"KASUMI2",4.6077
"KG1C",7.253
"KMS20",8.2736
"KYSE150",12.814
"OCIAML5",10.493
"PANC0813",14.683
"SNU601",11.395
"SNUC4",12.796
"T47D",9.6259
"T84",9.4681
"TE14",15.811
"U266B1",10.317
"42MGBA",7.5995
"BT139",14.781
"BT159",14.497
"BT228",11.474
"BT231",10.469
"BT239",11.362
"BT474",9.9401
"COV434",6.9283
"DND41",6.393
"G292CLONEA141B1",7.3727
"HCC2218",8.1507
"HS766T",13.096
"KMRC3",8.081
"M07E",6.5251
"NCIH1651",14.353
"SKBR3",10.518
"SNU1033",8.5291
"A204",6.9174
"AML193",9.0179
"HGC27",6.1261
"HS578BST",6.8583
"MALME3M",11.201
"HS934T",4.2979
"HS688AT",7.8571
"HUT78",8.0394
"NCIH1793",14.553
"SCC4",9.9663
"SKES1",7.0086
"HS888T",6.342
"MDAMB453",13.264
"SAOS2",10.562
"UBLC1",10.287
"BT248",13.777
"NCIH1694",5.6146
"SEM",10.336
"HS822T",6.8624
"HS940T",12.835
"KMBC2",11.937
"RCC10RGB",7.9156
"SKNBE2",5.104
"AU565",12.637
"COLO320",7.5934
"MDAMB415",13.37
"PANC1005",12.908
"BT131",8.6849
"BT147",13.854
"BT172",13.943
"BT216",11.476
"BT232",12.598
"BT245",10.332
"BT271",14.273
"BT286",10.845
"BT320",15.26
"BT328",15.632
"BT330",7.6013
"BT333",14.533
"BT340",13.87
"BT359",13.273
"BT416",11.62
"BT422",13.154
"BT428",13.426
"BT440",12.119
"BT444",14.056
"BT482",12.226
"BT498",15
"BT504",12.559
"2004",8.1107
"ASKA",8.1252
"BT12",9.1319
"BT16",15.449
"SW982",9.6218
"SYO1",12.124
"TM87-16",12.283
"TTC709",7.1002
"YAMATO",8.3894
"SUIT2",11.806
"NCIH1299",6.1879
"CAL51",10.006
"P3HR1",5.1732
"A549",8.1231
"NCIH460",14.998
"IGROV1",7.455
"A549",8.1231
"A375",1.9787
"MKN74",9.649
"CCFSTTG1",12.696
"LOXIMVI",2.925
"NCIH1869",9.3123
"OAW28",7.2751
"ASPC1",6.7962
"DU145",7.6497
"KE39",7.5564
